# このファイルは【編集禁止リスト（49本）】です。実験中は本文を編集しません。
#   内訳：統計の対象46本（config/prompts_experiment.csv・2026-09-22 に E37 coworker を除外）
#        ＋ agentforce-pricing（観測対象から外れたが、編集すると48本を母集団とした
#          比較の前提が崩れるため残置）
#        ＋ ピラー2本（agentforce-guide／agentic-crm）
#          クラスターへの処置がピラーの引用へ波及していないか（漏れ）を見るため、
#          ピラーの本文も実験中は変えない
# 実験の正本（統計）は config/prompts_experiment.csv です（46本 ⊂ 49本）。
# 49本で止めれば46本も必ず止まります（安全側）。
#
# ★agentforce-coworker（post 7003）は 2026-09-22 に**実験から除外・編集可**とした
#   （鮮度更新の裁定。publish_followup.py の EXPERIMENT_RELEASED）。この一覧には入れない。
#
# ★「この49本へリンクを張る」ことは編集にあたりません。
#   リンクを張るのは**張り元の記事の編集**で、張り先の本文は変わらないためです。
#   止めるのは、49本の**本文を書き換える**操作（逆リンクの追記を含む）です。
#
# 除外の期間：2026-09-15 〜 2026-12-31（両端を含む）／解放：2027-01-01 00:00 JST から編集・リンク可
#   （publish_followup.py の EXPERIMENT_START／EXPERIMENT_END）
#   期限の変更は効果測定チャットからの明示の通知のみ（管CH 2026-09-25）
# 日付付きの例外：2026-09-29〜09-30 に限り、allocation_v1 の処置群（②③④）と
#   agentforce-vibes への適用を apply_gate が通す（publish_followup.py の EXPERIMENT_WINDOWS）。
#   10/1 以降は再び全面禁止。publish_followup の逆リンク追記はこの例外の対象外。
# 読む側（publish_followup.py の _read_slugs）は # で始まる行を読み飛ばします。
# 記録：2026-09-18（便GS §2 で注記を新設／便GT §1 で50本へ拡張）
#       2026-09-22（coworker を外して49本へ・9/29〜30 の例外を追記）
id,url,group,published,query
1,https://cross-com.jp/agentforce-proposal-review/,④両方,2026-09-07,Agentforceで提案書のレビュー待ちを減らすにはどうすればいいですか？
2,https://cross-com.jp/agentforce-permission-set/,④両方,2026-09-06,Agentforceの権限セットでは何を設定して、AIエージェントにどこまでデータアクセスを渡していいですか？
3,https://cross-com.jp/agentforce-data-library/,①対照,2026-09-05,Agentforceのデータライブラリとは何で、どんな文書を入れればいいですか？
4,https://cross-com.jp/agentforce-data-volume/,②FAQのみ,2026-09-04,CRMのデータ量が少ない会社でもAgentforceは使えますか？
5,https://cross-com.jp/agentforce-no-code-scope/,③リードのみ,2026-09-03,Agentforceの設定は開発者なしで営業部門だけでできますか？
6,https://cross-com.jp/agentforce-sales-meeting/,③リードのみ,2026-09-02,営業会議が数字の読み上げで長引くのを改善するにはどうすればいいですか？
7,https://cross-com.jp/agentforce-sales-dependency/,②FAQのみ,2026-09-01,営業の属人化を解消するにはどうすればいいですか？
8,https://cross-com.jp/agentforce-lost-deal-analysis/,①対照,2026-08-31,失注分析をしても次の受注につながらないのはなぜで、どう改善すればいいですか？
9,https://cross-com.jp/sfa-teichaku/,③リードのみ,2026-08-30,Salesforceの定着化が進まないのはなぜで、どうすれば定着しますか？
10,https://cross-com.jp/agentforce-subagents/,④両方,2026-08-27,Agentforceのサブエージェントはどういう単位で分ければいいですか？
12,https://cross-com.jp/agentforce-voice/,④両方,2026-08-26,Agentforce Voiceとは何で、電話業務のどこまで任せられますか？
13,https://cross-com.jp/agentforce-deal-notes/,②FAQのみ,2026-08-25,商談メモは何を書けば後から読まれるものになりますか？
