run_date,id,url,group,model,run,cited,site_cited,cited_urls
2026-09-17,1,https://cross-com.jp/agentforce-proposal-review/,④両方,claude,1,0,0,
2026-09-17,1,https://cross-com.jp/agentforce-proposal-review/,④両方,claude,2,0,0,
2026-09-17,1,https://cross-com.jp/agentforce-proposal-review/,④両方,claude,3,0,0,
2026-09-17,2,https://cross-com.jp/agentforce-permission-set/,④両方,claude,1,0,0,
2026-09-17,2,https://cross-com.jp/agentforce-permission-set/,④両方,claude,2,0,0,
2026-09-17,2,https://cross-com.jp/agentforce-permission-set/,④両方,claude,3,0,0,
2026-09-17,3,https://cross-com.jp/agentforce-data-library/,①対照,claude,1,0,0,
2026-09-17,3,https://cross-com.jp/agentforce-data-library/,①対照,claude,2,0,0,
2026-09-17,3,https://cross-com.jp/agentforce-data-library/,①対照,claude,3,0,0,
2026-09-17,4,https://cross-com.jp/agentforce-data-volume/,②FAQのみ,claude,1,0,1,https://cross-com.jp/agentforce-small-business/
2026-09-17,4,https://cross-com.jp/agentforce-data-volume/,②FAQのみ,claude,2,0,1,https://cross-com.jp/agentforce-small-business/
2026-09-17,4,https://cross-com.jp/agentforce-data-volume/,②FAQのみ,claude,3,0,1,https://cross-com.jp/agentforce-small-business/
2026-09-17,5,https://cross-com.jp/agentforce-no-code-scope/,③リードのみ,claude,1,0,0,
2026-09-17,5,https://cross-com.jp/agentforce-no-code-scope/,③リードのみ,claude,2,0,0,
2026-09-17,5,https://cross-com.jp/agentforce-no-code-scope/,③リードのみ,claude,3,0,0,
2026-09-17,6,https://cross-com.jp/agentforce-sales-meeting/,③リードのみ,claude,1,0,0,
2026-09-17,6,https://cross-com.jp/agentforce-sales-meeting/,③リードのみ,claude,2,0,0,
2026-09-17,6,https://cross-com.jp/agentforce-sales-meeting/,③リードのみ,claude,3,0,0,
2026-09-17,7,https://cross-com.jp/agentforce-sales-dependency/,②FAQのみ,claude,1,0,0,
2026-09-17,7,https://cross-com.jp/agentforce-sales-dependency/,②FAQのみ,claude,2,0,0,
2026-09-17,7,https://cross-com.jp/agentforce-sales-dependency/,②FAQのみ,claude,3,0,0,
2026-09-17,8,https://cross-com.jp/agentforce-lost-deal-analysis/,①対照,claude,1,0,0,
2026-09-17,8,https://cross-com.jp/agentforce-lost-deal-analysis/,①対照,claude,2,0,0,
2026-09-17,8,https://cross-com.jp/agentforce-lost-deal-analysis/,①対照,claude,3,0,0,
